date,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
2024-12-20,0.0,0.0,0.0,254969.660039,0.0
2024-12-21,0.0,0.0,0.0,150022.163157,0.0
2024-12-22,0.0,0.0,0.0,352197.163973,0.0
2024-12-23,0.0,0.0,0.0,-29430.626577,0.0
2024-12-24,0.0,0.0,0.0,14813.780116,0.0
2024-12-25,0.0,0.0,0.0,756.6570469999998,0.0
2024-12-26,0.0,60228.639722,0.0,0.0,0.0
2024-12-27,0.0,0.0,0.0,2672.811035,0.0
2024-12-28,0.0,0.0,0.0,940.673623,0.0
2024-12-29,0.0,0.0,0.0,2884.067927,0.0
2024-12-30,0.0,0.0,0.0,9009.738137,0.0
2024-12-31,0.0,0.0,0.0,5445.01281,0.0
2025-01-01,0.0,0.0,0.0,-9528.065345,0.0
2025-01-02,0.0,0.0,0.0,8716.519087,0.0
2025-01-03,0.0,0.0,0.0,6028.486793,0.0
2025-01-04,0.0,0.0,0.0,2553.537968,0.0
2025-01-05,0.0,0.0,0.0,3187.719363,0.0
2025-01-06,0.0,6064.185393,0.0,0.0,0.0
2025-01-07,0.0,16098.227531,0.0,0.0,0.0
2025-01-08,0.0,0.0,0.0,130117.090554,0.0
2025-01-09,0.0,0.0,0.0,46975.928902,0.0
2025-01-10,0.0,0.0,0.0,0.0,-10116.875552
2025-01-11,0.0,0.0,0.0,2269.080536,0.0
2025-01-12,0.0,0.0,0.0,5742.241803,0.0
2025-01-13,0.0,0.0,0.0,9655.429352,0.0
2025-01-14,0.0,0.0,0.0,16069.512355,0.0
2025-01-15,0.0,0.0,0.0,14819.5883,0.0
2025-01-16,0.0,20807.709328,0.0,0.0,0.0
2025-01-17,0.0,7006.415608,0.0,0.0,0.0
2025-01-18,0.0,443.2330819999997,0.0,0.0,0.0
2025-01-19,0.0,87923.799302,0.0,0.0,0.0
2025-01-20,0.0,87277.239173,0.0,0.0,0.0
2025-01-21,0.0,11077.839421,0.0,0.0,0.0
2025-01-22,0.0,20524.408057,0.0,0.0,0.0
2025-01-23,0.0,101256.24216,0.0,0.0,0.0
2025-01-24,0.0,10602.779738,0.0,0.0,0.0
2025-01-25,0.0,-10348.016255999999,0.0,0.0,0.0
2025-01-26,0.0,0.0,0.0,40823.466668,0.0
2025-01-27,0.0,0.0,0.0,41331.765392,0.0
2025-01-28,0.0,0.0,0.0,17979.613973,0.0
2025-01-29,0.0,0.0,0.0,23421.01147,0.0
2025-01-30,0.0,0.0,0.0,23097.471385,0.0
2025-01-31,0.0,35868.296773,0.0,0.0,0.0
2025-02-01,0.0,0.0,0.0,32300.205017,0.0
2025-02-02,0.0,0.0,0.0,162854.759623,0.0
2025-02-03,0.0,0.0,348871.326269,0.0,0.0
2025-02-04,0.0,0.0,0.0,416876.88812,0.0
2025-02-05,0.0,0.0,0.0,0.0,56706.235562
2025-02-06,0.0,0.0,0.0,0.0,33803.799733
2025-02-07,0.0,0.0,22450.002091,0.0,0.0
2025-02-08,0.0,0.0,586.703253,0.0,0.0
2025-02-09,0.0,0.0,0.0,0.0,150551.829492
2025-02-10,0.0,0.0,63908.49465,0.0,0.0
2025-02-11,0.0,0.0,0.0,0.0,-6093.784817
2025-02-12,0.0,0.0,0.0,0.0,19848.635032
2025-02-13,0.0,0.0,0.0,0.0,27829.534238
2025-02-14,0.0,0.0,0.0,0.0,213860.675308
2025-02-15,0.0,0.0,0.0,0.0,45042.92701
2025-02-16,0.0,0.0,0.0,0.0,2369.478425
2025-02-17,0.0,0.0,0.0,0.0,1818.573295
2025-02-18,0.0,0.0,0.0,0.0,91204.672403
2025-02-19,0.0,0.0,14985.794701,0.0,0.0
2025-02-20,0.0,0.0,0.0,0.0,46008.794102
2025-02-21,0.0,0.0,0.0,119693.49395,0.0
2025-02-22,0.0,0.0,0.0,0.0,25278.704178
2025-02-23,0.0,0.0,0.0,0.0,10656.934251
2025-02-24,0.0,0.0,0.0,0.0,38470.176242
2025-02-25,0.0,0.0,204762.177034,0.0,0.0
2025-02-26,63229.063129,0.0,0.0,0.0,0.0
2025-02-27,-36525.167517,0.0,0.0,0.0,0.0
2025-02-28,225628.108748,0.0,0.0,0.0,0.0
2025-03-01,10596.108968,0.0,0.0,0.0,0.0
2025-03-02,0.0,0.0,66914.320708,0.0,0.0
2025-03-03,0.0,0.0,616413.032233,0.0,0.0
2025-03-04,182075.566585,0.0,0.0,0.0,0.0
2025-03-05,269328.365917,0.0,0.0,0.0,0.0
2025-03-06,0.0,0.0,16101.125561,0.0,0.0
2025-03-07,0.0,0.0,150236.061627,0.0,0.0
2025-03-08,0.0,0.0,24700.773359,0.0,0.0
2025-03-09,0.0,0.0,19773.457395,0.0,0.0
2025-03-10,-10010.027269999999,0.0,0.0,0.0,0.0
2025-03-11,-76880.729036,0.0,0.0,0.0,0.0
2025-03-12,0.0,0.0,288105.984215,0.0,0.0
2025-03-13,0.0,0.0,0.0,0.0,14114.870873
2025-03-14,0.0,0.0,68646.160089,0.0,0.0
2025-03-15,0.0,0.0,0.0,0.0,78694.624572
